label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2096,36.0817592,140.080213,345.220677806367,-138.581634088113,-0.027234603247494,0,0,0.962075915572226,0.271975451366084,2,2,0,0,1,-1,345.220677806367,-138.581634088113
2097,36.0817939,140.0802275,346.525162687715,-134.718847757531,0.037448100907068,0,0,0.709388701686352,0.704497009292194,2,2,0,0,1,-1,346.525162687715,-134.718847757531
2098,36.0818091,140.0802695,350.303670612752,-133.026791497474,0.118017895025372,0,0,0.613701019232993,0.788855082406518,2,2,0,0,1,-1,350.303670612752,-133.026791497474
2099,36.0818257,140.0803098,353.929238932634,-131.178887950858,0.257386438882092,0,0,0.710420454493805,0.703151545049925,2,2,0,0,1,-1,353.929238932634,-131.178887950858
2100,36.0818473,140.0803444,357.042009750466,-128.774386949308,0.38122162540655,0,0,0.641674702582047,0.766316983626895,2,2,0,0,1,-1,357.042009750466,-128.774386949308
2101,36.0818634,140.0803824,360.460659778612,-126.982143147948,0.546058244016793,0,0,0.503283382595795,0.863717657253468,2,2,0,0,1,-1,360.460659778612,-126.982143147948
2102,36.0818683,140.0804269,364.464078891764,-126.436677643015,0.649103609125239,0,0,0.453819981816078,0.890788552102375,2,2,0,0,1,-1,364.464078891764,-126.436677643015
2103,36.0818737,140.0804726,368.575455375518,-125.835552392825,0.744957623742396,0,0,0.471717950467279,0.880923544870243,2,2,0,0,1,-1,368.575455375518,-125.835552392825
2104,36.0818737,140.0805166,372.533892249001,-125.835552392825,0.886697235927665,0,0,0.456094538744093,0.889351605687645,2,2,0,0,1,-1,372.533892249001,-125.835552392825
2105,36.0818725,140.0805603,376.465339784309,-125.969135781756,1.02389183280082,0,0,0.39028374468486,0.919996440540861,2,2,0,0,1,-1,376.465339784309,-125.969135781756
2106,36.0818726,140.0806063,380.603705608796,-125.958003832547,1.18239554783543,0,0,0.400557560027957,0.915472480745429,2,2,0,0,1,-1,380.603705608796,-125.958003832547
2107,36.081867,140.080649,384.445188667324,-126.581392981155,1.34476738091681,0,0,0.349081758999775,0.936524390425181,2,2,0,0,1,-1,384.445188667324,-126.581392981155
2108,36.0818704,140.0806934,388.439611333565,-126.20290671199,1.51020564064376,0,0,0.403658808038186,0.91416611935011,2,2,0,0,1,-1,388.439611333565,-126.20290671199
2109,36.0818736,140.0807359,392.263101498271,-125.846684341243,1.69749675131743,0,0,0.523736067918637,0.851122497724601,2,2,0,0,1,-1,392.263101498271,-125.846684341243
2110,36.0818819,140.0807818,396.392470873289,-124.922732567936,1.84427237211998,0,0,0.507694898662454,0.860887127183065,2,2,0,0,1,-1,396.392470873289,-124.922732567936
2111,36.0818921,140.0808234,400.134993010683,-123.787273762022,2.00882538702439,0,0,0.623225274878109,0.781426121159126,2,2,0,0,1,-1,400.134993010683,-123.787273762022
2112,36.0819026,140.0808657,403.940490281568,-122.618419108479,2.145991998152,0,0,0.587362441829544,0.808643677524858,2,2,0,0,1,-1,403.940490281568,-122.618419108479
2113,36.0819123,140.0809084,407.781973340095,-121.538620047822,2.30003307455664,0,0,0.570477255955953,0.820625684977749,2,2,0,0,1,-1,407.781973340095,-121.538620047822
2114,36.0819307,140.0809494,411.47051679091,-119.490341417018,2.46042942189916,0,0,0.629633130409666,0.776324695435123,2,2,0,0,1,-1,411.47051679091,-119.490341417018
2115,36.0819584,140.0809791,414.142461684538,-116.406791522394,2.54218663502095,0,0,0.84447952348326,0.534677621046839,2,2,0,0,1,-1,414.142461684538,-116.406791522394
2116,36.0819926,140.0809975,415.79780801331,-112.599664937069,2.63622598526091,0,0,0.892656065097077,0.449648063466294,2,2,0,0,1,-1,415.79780801331,-112.599664937069
2117,36.0820261,140.0810102,416.940356837477,-108.870461995418,2.6323551021332,0,0,0.902104698240269,0.431092764000899,2,2,0,0,1,-1,416.940356837477,-108.870461995418
2118,36.0820348,140.0810126,417.156271576123,-107.901982426063,2.62575453854879,0,0,0.9998479078899,-0.014739341144374,2,2,0,0,1,-1,417.156271576123,-107.901982426063
2119,36.0820355,140.0810116,417.0663071019,-107.824058782388,2.63595643262232,0,0,0.998954776395362,0.044008050636965,2,2,0,0,1,-1,417.0663071019,-107.824058782388
